name,title,org,country,bio,linkedin,headshotUrl,sessionTitle,sessionCodes,sourceUrl,lastSeenAt,status,year,nameKey,recordId
CA Manish Hingar,Founder & CEO,Fintoo,,"CA Manish P. Hingar is Founder & CEO of Fintoo, India's first dedicated personal finance advisory platform and a pioneer of Robo Advisory in the country. Starting as a one-man practice in 2004, he has built Fintoo into a SEBI-RIA Tech platform with 100+ professionals across 4 offices in India and Dubai, managing assets under tracking of over ₹5,000 crore. At Global Fintech Fest 2026, he will launch Fintoo's Robo Advisory platform for the masses. He is also Founder of Matcap Wealth Advisors Pvt. Ltd., focused on global portfolio advisory. A Chartered Accountant, speaker, and 20-year meditator, Manish has featured on Forbes India, CNBC-TV18, and The Economic Times.",,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/254a401d-7654-4bf5-87a8-620b05a2312d-ca-manish-hingar-website-photo.png,From Access to Outcomes: The Next Chapter of WealthTech,A1131,https://www.globalfintechfest.com/speakers,2026-08-12T13:58:49Z,active,2026,manish hingar,6a7c768616afc6a8747c9aa7
Dr. Ajay K Sood,Deputy Managing Director,National Bank for Agriculture and Rural Development,India,"Dr. Ajay Kumar Sood is the Deputy Managing Director of National Bank for Agriculture and Rural Development (NABARD), an apex government institution dedicated to agriculture and rural development in India. Dr. Sood earned his PhD in Agricultural Economics and possesses extensive experience in agricultural development and rural banking. Throughout his long tenure at NABARD, where he has served in various capacities, Dr. Sood has made significant contributions to rural and agricultural infrastructure development, strengthening of rural financial institutions, and promotion of grassroots and community groups. His efforts have been instrumental in creating a conducive ecosystem that fosters inclusive development.",https://www.linkedin.com/in/ajay-kumar-sood-79827759,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/705616d6-6ba2-4638-933f-f3b03c52654a-ajay-sood-website-photo.png,,,https://www.globalfintechfest.com/speakers,2026-08-12T13:58:49Z,active,2026,ajay k sood,6a7c768616afc6a8747c9aa8
Dr. Amit Kumar Jain,Director (Operations & Services),Delhi Metro Rail Corporation,India,"Dr. Amit Kumar Jain is Director (Operations & Services) of Delhi Metro Rail Corporation (DMRC) and (ex. CEO) & Director of DMIL (Delhi Metro International Limited). An Indian Railway Traffic Service (IRTS) officer of the year 2000, Dr. Jain has over two decades of experience in numerous key leadership positions. Prior to taking up this role, he was working as General Manager, Centre for Railway Information Systems (CRIS). Dr. Jain has authored books titled “ LEAD SMART in the AI ERA”, ‘Excellence in Metro Operations and Management’ - Best Practices world over , ‘Exploring Life@2050’ and ‘Intelligent Transportation Systems’. He is a regular contributor to newspaper columns and journals. Latterly, Dr. Amit Kumar Jain has been bestowed upon with the Chief Minister's Award for Excellence and Innovation in Governance and Public Service Delivery on the occasion of Civil Services Day 2026.",,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/7b35403d-c76d-423a-ae7f-4ab99d43a359-mr.-amit-kumar-jain-website-photo.png,"Seamless Urban Movement: Integrating Payments, Platforms & Infrastructure",A0710,https://www.globalfintechfest.com/speakers,2026-08-12T13:58:49Z,active,2026,amit kumar jain,6a7c768616afc6a8747c9aa9
Dr. Anuradha Bhatia,CTO,Standard Chartered,India,,,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/91aeee88-0b77-45c5-9eae-b8e28c661167-dr.-anuradha-bhatia-website-photo.png,"Cross‑Border at Scale: Re‑Engineering India's Forex Payments for Speed, Compliance, and Trust",A1014,https://www.globalfintechfest.com/speakers,2026-08-12T13:58:49Z,active,2026,anuradha bhatia,6a7c768616afc6a8747c9aaa
Dr. Atul Mehta,CEO,Pay10,India,"Dr. Atul Mehta, CEO of Pay10 India, is a global business leader, changemaker, and passionate mentor with over 19 years of experience in Fintech, Enterprise Sales, Strategy, and Business Intelligence. An alumnus of IIM Ahmedabad and PEC Chandigarh, Atul also holds an honorary PhD in Enterprise Sales Management from Maryland State University. Having led high-impact teams across sectors like Digital Payments, Telecom, Travel, FMCG, and Government, Atul has built a career around transforming challenges into growth opportunities. But what truly defines Atul is his relentless spirit. A firm believer in the motto: “Live life to the fullest and try to do something for society in whatever way you can,” A widely respected mentor and speaker, Atul has shared his insights at premier institutions such as IIMA, IIMB, MDI, FMS, TISS, IIM Indore, Chinese University of Hong Kong, and many more.",https://www.linkedin.com/in/atulmehta07/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/fd4877eb-9cef-41a7-b20c-c4a96aec8246-atul-mehta-website-photo.png,Outward Remittances: Serving India's Global Citizens with Smarter Cross-Border Money Movement,A0750,https://www.globalfintechfest.com/speakers,2026-08-12T13:58:49Z,active,2026,atul mehta,6a7c768616afc6a8747c9aab
Dr. Debadatta Chand,Managing Director & CEO,Bank of Baroda,India,,,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/5d74faf0-b4d8-4620-97bb-eb5dde109bd8-dr.-debadatta-chand-website-photo.png,From Financial Inclusion to Financial Empowerment: The Next Chapter of India's Digital Transformation,A0289,https://www.globalfintechfest.com/speakers,2026-08-12T13:58:49Z,active,2026,debadatta chand,6a7c768616afc6a8747c9aac
Dr. Dipesh Shah,Executive Director,International Financial Services Centres Authority,India,"Dr. Dipesh Shah, Executive Director at IFSCA, has over 23 years of experience in international business, project development, and policy. He played a key role in setting up GIFT City—India’s first Smart City and IFSC. He led major regulatory and business reforms attracting global banks, exchanges, and insurers. He holds a Ph.D. in IFSCs and is a Chartered Secretary and MBA in International Business & Finance.",https://www.linkedin.com/in/dr-dipesh-shah-38606118/?originalSubdomain=in,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/88a53a5f-2415-4b18-be18-38146d3bce72-dr.-dipesh-shah-website-photo.png,What's New at GIFT IFSC: The Next Chapter of Global Financial Innovation,A1063,https://www.globalfintechfest.com/speakers,2026-08-12T13:58:49Z,active,2026,dipesh shah,6a7c768616afc6a8747c9aad
Dr. Innocent Matshe,Deputy Governor,Reserve Bank of Zimbabwe,Zimbabwe,$32,,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/321df2df-95f6-4dd8-b8eb-a28bbd2ad410-dr.-innocent-matshe-website-photo.png,Digital Public Infrastructure: A Model for Transformation,A0674,https://www.globalfintechfest.com/speakers,2026-08-12T13:58:49Z,active,2026,innocent matshe,6a7c768616afc6a8747c9aae
Dr. Kisukyabo Simwaka,Deputy Governor - Operations,Reserve Bank of Malawi,Malawi,AS ATTACHED,,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/5c5e7b52-e85a-4e73-a975-ee7d262161c9-dr.-kisukyabo-simwaka-website-photo.png,Driving Sovereignty and Proliferation of New Payment Methods – A Central Bank Perspective,A0690,https://www.globalfintechfest.com/speakers,2026-08-12T13:58:49Z,active,2026,kisukyabo simwaka,6a7c768616afc6a8747c9aaf
Dr. Kopal Vyas Dhage,Chief Business Officer,NexNebula Technologies (Zrika),India,$7f,https://www.linkedin.com/in/dr-kopalvyas/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/2e7fee98-290e-47e8-a84c-bdf567e68156-kopal-vyas---dhage-website-photo.png,,,https://www.globalfintechfest.com/speakers,2026-08-12T13:58:49Z,active,2026,kopal vyas dhage,6a7c768616afc6a8747c9ab0
